发展	NOUNobjVERB	得到	10
10	ABOUT	发展	10
。	PUNCTpunctVERB	得到	10
本文	NOUNnsubjVERB	介绍	11
11	ABOUT	本文	11
主要	ADVadvmodVERB	介绍	11
介绍	VERB_PREDICATE_OF	11	11
中国	PROPNnmodNOUN	教育	11
图书	NOUNcompoundPART	馆	11
馆	PARTnmodNOUN	教育	11
学情	NOUNnmodNOUN	教育	11
报学	NOUNnmodNOUN	教育	11
教育	NOUNnmodNOUN	现状	11
的	PARTcase:decNOUN	教育	11
现状	NOUNobjVERB	介绍	11
11	ABOUT	现状	11
，	PUNCTpunctNOUN	课程	11
课程	NOUNnmodNOUN	方向	11
与	CCONJccNOUN	研究	11
研究	NOUNconjNOUN	课程	11
方向	NOUNconjNOUN	现状	11
，	PUNCTpunctVERB	指出	11
指出	VERBparataxisVERB	介绍	11
其中	NOUNadvmodVERB	存在	11
存在	VERBacl:relclNOUN	问题	11
的	PARTmark:relclVERB	存在	11
问题	NOUNobjVERB	指出	11
11	ABOUT	问题	11
，	PUNCTpunctNOUN	趋势	11
以及	CCONJccNOUN	趋势	11
今后	NOUNnmodNOUN	趋势	11
的	PARTcase:decNOUN	今后	11
发展	NOUNnmodNOUN	趋势	11
趋势	NOUNconjNOUN	问题	11
。	PUNCTpunctVERB	介绍	11
2	NUMnummodNOUN	教育	12
中国	PROPNnmodNOUN	教育	12
图书	NOUNcompoundPART	馆	12
馆	PARTnmodNOUN	教育	12
学情	NOUNnmodNOUN	教育	12
报学	NOUNnmodNOUN	教育	12
教育	NOUNnmodNOUN	现状	12
的	PARTcase:decNOUN	教育	12
现状	NOUNnsubjVERB	有	12
12	ABOUT	现状	12
目前	NOUNnmod:tmodVERB	有	12
，	PUNCTpunctVERB	有	12
中国	PROPNnmodNOUN	教育	12
大陆	NOUNnmodNOUN	教育	12
图书	NOUNcompoundPART	馆	12
馆	PARTnmodNOUN	教育	12
情报	NOUNnmodNOUN	教育	12
学本	NOUNcompoundPART	科	12
科	PARTnmodNOUN	教育	12
教育	NOUNnmodNOUN	院校	12
的	PARTcase:decNOUN	教育	12
院校	NOUNnsubjVERB	有	12
12	ABOUT	院校	12
有	VERB_PREDICATE_OF	12	12
41	NUMnummodNOUN	所	12
所	NOUNobjVERB	有	12
12	ABOUT	所	12
，	PUNCTpunctVERB	有	12
其中	NOUNnmodPART	学	12
图书	NOUNcompoundPART	馆	12
馆	PARTcompoundPART	学	12
学	PARTnsubjVERB	有	12
有	VERBparataxisVERB	有	12
博士	NOUNnmodPART	点	12
授权	VERBcompoundPART	点	12
点	PARTobjVERB	有	12
6	NUMnummodNOUN	个	12
个	NOUNaclPART	点	12
，	PUNCTpunctVERB	有	12
情报	NOUNcompoundPART	学	12
学	PARTnsubjVERB	有	12
有	VERBparataxisVERB	有	12
博士	NOUNcompoundPART	点	12
点	PARTobjVERB	有	12
6	NUMnummodNOUN	个	12
个	NOUNaclPART	点	12
，	PUNCTpunctPART	学	12
档案	NOUNcompoundPART	学	12
学	PARTconjPART	点	12
1	NUMnummodNOUN	个	12
个	NOUNparataxisVERB	有	12
。	PUNCTpunctVERB	有	12
图书	NOUNnmodPART	点	13
馆学	NOUNnmodPART	点	13
硕士	NOUNnmodPART	点	13
授权	VERBcompoundPART	点	13
点	PART_PREDICATE_OF	13	13
18	NUMnummodNOUN	个	13
个	NOUNdislocatedPART	点	13
，	PUNCTpunctPART	点	13
情报	NOUNcompoundPART	学	13
学	PARTnmodPART	点	13
硕士	NOUNnmodPART	点	13
授权	VERBcompoundPART	点	13
点	PARTconjPART	点	13
28	NUMnummodNOUN	个	13
个	NOUNaclPART	点	13
，	PUNCTpunctPART	点	13
档案	NOUNcompoundPART	学	13
学	PARTnsubjNOUN	个	13
12	NUMnummodNOUN	个	13
个	NOUNparataxisPART	点	13
。	PUNCTpunctPART	点	13
另外	ADVadvmodVERB	有	14
还	ADVmarkVERB	有	14
有	VERB_PREDICATE_OF	14	14
图书	NOUNcompoundPART	馆	14
馆	PARTnmodNOUN	教育	14
情报	NOUNcompoundPART	学	14
学	PARTnmodNOUN	教育	14
函授	NOUNnmodNOUN	教育	14
教育	NOUNobjVERB	有	14
14	ABOUT	教育	14
与	CCONJccNOUN	教育	14
远程	NOUNnmodNOUN	教育	14
教育	NOUNconjNOUN	教育	14
。	PUNCTpunctVERB	有	14
目前	NOUNnmod:tmodVERB	有	15
，	PUNCTpunctVERB	有	15
信息	NOUNnmodNOUN	学科	15
管理	NOUNnmodNOUN	学科	15
学科	NOUNnsubjVERB	涵盖	15
15	ABOUT	学科	15
主要	ADVadvmodVERB	涵盖	15
涵盖	VERBacl:relclNOUN	专业	15
的	PARTmark:relclVERB	涵盖	15
专业	NOUNnsubjVERB	有	15
15	ABOUT	专业	15
有	VERB_PREDICATE_OF	15	15
: 1)	XnmodPART	本	15
图书	NOUNcompoundPART	馆	15
馆	PARTnmodPART	本	15
学(	NOUNcompoundPART	本	15
本	PARTobjVERB	有	15
、	PUNCTpunctPROPN	硕	15
硕	PROPNconjPART	本	15
、	PUNCTpunctNOUN	(硕	15
博) 2)	XnmodNOUN	(硕	15
情报	NOUNcompoundPART	学	15
学	PARTnmodNOUN	(硕	15
(硕	NOUNconjPART	本	15
、	PUNCTpunctNOUN	管理	15
博) 3)	XnmodNOUN	管理	15
信息	NOUNnmodNOUN	管理	15
管理	NOUNconjPART	本	15
与	CCONJccNOUN	系统	15
信息	NOUNnmodNOUN	系统	15
系统	NOUNnmodPART	学	15
(本	NOUNnmodPART	学	15
) 4)	XnmodPART	学	15
档案	NOUNcompoundPART	学	15
学	PARTconjPART	本	15
(	PUNCTpunctPART	学	15
本	XapposPART	学	15
、	PUNCTpunctPROPN	硕	15
硕	PROPNconjX	本	15
、	PUNCTpunctX	博) 5)	15
博) 5)	XconjX	本	15
编辑	VERBamodNOUN	(本	15
出版	VERBcompoundPART	学	15
学	PARTnmodNOUN	(本	15
(本	NOUNapposX	本	15
，	PUNCTpunctVERB	有	15
硕	NOUNcompoundPART	点	15
、	PUNCTpunctPART	点	15
博士	NOUNcompoundPART	点	15
点	PARTnsubjVERB	自设	15
为	ADPcaseVERB	自设	15
自设	VERBxcompVERB	认为	15
)	PUNCTpunctVERB	自设	15
在	ADPcaseNOUN	学科	15
中国	PROPNnmodNOUN	学科	15
信息	NOUNnmodNOUN	学科	15
管理	NOUNnmodNOUN	学科	15
学科	NOUNoblVERB	自设	15
15	ABOUT	学科	15
中	ADPaclNOUN	学科	15
，	PUNCTpunctVERB	认为	15
我	PRONnsubjVERB	认为	15
认为	VERBparataxisVERB	有	15
比	ADPcaseVERB	影响	15
较有	ADVadvmodVERB	影响	15
影响	VERBacl:relclPART	系	15
的	PARTmark:relclVERB	影响	15
是	AUXcopPART	系	15
: 1)	SYMnmodPART	系	15
北京	PROPNnmodPART	系	15
大学	NOUNnmodPART	系	15
信息	NOUNnmodPART	系	15
管理	VERBcompoundPART	系	15
系	PARTnmodPART	系	15
北京	PROPNnmodPART	系	15
大学	NOUNnmodPART	系	15
信息	NOUNnmodPART	系	15
管理	VERBcompoundPART	系	15
系	PARTnsubjVERB	创办	15
是	AUXcopNOUN	系科	15
直属	VERBacl:relclNOUN	系科	15
于	VERBmarkVERB	直属	15
学校	NOUNobjVERB	直属	15
15	ABOUT	学校	15
的	PARTmark:relclVERB	直属	15
一	NUMnummodNOUN	个	15
个	NOUNclfNOUN	系科	15
独立	ADJamodNOUN	系科	15
的	PARTmark:relclADJ	独立	15
系科	NOUNadvclVERB	有	15
，	PUNCTpunctVERB	有	15
创办	VERBxcompVERB	认为	15
于	ADPcaseNOUN	年	15
1947	NUMnummodNOUN	年	15
年	NOUNoblVERB	创办	15
15	ABOUT	年	15
，	PUNCTpunctVERB	有	15
目前	NOUNnmod:tmodVERB	有	15
有	VERBadvclVERB	招收	15
专任	NOUNnmodNOUN	教师	15
教师	NOUNnsubjNOUN	人	15
15	ABOUT	教师	15
30	NUMnummodNOUN	人	15
人	NOUNccompVERB	有	15
，	PUNCTpunctVERB	招收	15
其他	DETdetNOUN	人员	15
工作	NOUNnmodNOUN	人员	15
人员	NOUNnsubjNOUN	人	15
15	ABOUT	人员	15
10	NUMnummodNOUN	人	15
人	NOUNparataxisVERB	有	15
，	PUNCTpunctVERB	招收	15
每年	DETnmod:tmodVERB	招收	15
招收	VERBparataxisVERB	有	15
本科	NOUNcompoundPART	生	15
生	PARTnsubjNOUN	人	15
约	ADVadvmodNOUN	人	15
50	NUMnummodNOUN	人	15
人	NOUNccompVERB	招收	15
，	PUNCTpunctVERB	招收	15
硕士	NOUNnmodPART	生	15
